,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
37,Brandon Ingram,6.8,4.3,9.0,0.6,0.0,0.8,0.475,0.35,0.419,0.5,0.0,0.5
38,Brodric Thomas,1.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,Brook Lopez,1.3,4.9,0.6,1.2,0.2,0.3,0.625,0.36,0.429,0.462,0.25,0.33299999999999996
40,Bruce Brown,1.1,0.4,0.9,0.6,0.0,0.6,0.5710000000000001,0.2,0.6,0.667,0.0,1.0
41,Bruno Caboclo,1.2,0.0,0.0,0.4,0.0,0.4,1.0,0.0,0.0,0.2,0.0,0.5
42,Bruno Fernando,0.0,0.0,0.3,0.7,0.0,0.6,0.0,0.0,1.0,0.5,0.0,0.667
43,Bryn Forbes,0.5,4.0,2.5,0.0,0.0,0.0,0.6,0.405,0.5,0.0,0.0,0.0
44,Buddy Hield,1.9,6.3,4.7,1.1,0.0,0.0,0.381,0.34299999999999997,0.33299999999999996,0.75,0.0,0.0
45,CJ Elleby,1.2,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
46,CJ McCollum,4.5,5.7,15.4,0.4,0.0,0.2,0.385,0.488,0.49200000000000005,0.4,0.0,0.33299999999999996
47,Caleb Martin,1.8,2.5,0.7,0.2,0.0,0.4,0.667,0.429,0.5,0.33299999999999996,0.0,1.0
48,Cam Reddish,2.1,3.6,1.1,2.5,0.0,0.6,0.16,0.324,0.14800000000000002,1.0,0.0,0.667
49,Cameron Johnson,1.9,6.8,1.4,0.7,0.0,0.4,0.727,0.36200000000000004,0.462,1.0,0.0,1.0
50,Aaron Gordon,2.6,3.1,3.2,3.3,1.6,0.8,0.474,0.40700000000000003,0.33299999999999996,0.727,0.313,0.8
51,Aaron Holiday,1.4,2.1,0.3,0.0,0.0,0.2,0.43799999999999994,0.259,0.14300000000000002,0.0,0.0,0.5
52,Aaron Nesmith,0.0,1.0,1.0,0.7,0.0,0.7,0.0,0.14300000000000002,0.33299999999999996,1.0,0.0,1.0
53,Abdel Nader,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
