,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
241,2021,Frank Kaminsky,C,27,PHO,5,0,8.0,1.4,3.6,.389,0.2,0.8,.250,1.2,2.8,.429,.417,0.4,0.8,.500,1.0,0.8,1.8,0.8,0.0,0.2,0.2,0.6,3.4
242,2021,Enes Kanter,C,28,POR,9,0,19.4,4.4,6.8,.656,0.0,0.0,,4.4,6.8,.656,.656,2.0,2.4,.818,3.7,6.0,9.7,0.4,0.4,0.3,1.0,2.0,10.9
243,2021,Luke Kennard,SG,24,LAC,10,3,23.4,3.1,6.6,.470,1.5,3.2,.469,1.6,3.4,.471,.583,0.8,0.9,.889,0.2,2.8,3.0,1.7,0.3,0.2,1.5,1.6,8.5
244,2021,Maxi Kleber,PF,29,DAL,9,3,24.3,2.0,4.6,.439,1.8,3.8,.471,0.2,0.8,.286,.634,1.7,1.8,.938,0.8,4.6,5.3,1.3,0.3,0.9,0.7,1.9,7.4
245,2021,Nathan Knight,PF,23,ATL,5,0,3.8,0.8,1.6,.500,0.4,0.8,.500,0.4,0.8,.500,.625,0.8,1.0,.800,0.8,0.6,1.4,0.0,0.0,0.2,0.6,1.0,2.8
246,2021,Kevin Knox,SF,21,NYK,9,0,21.4,2.6,6.1,.418,1.3,3.3,.400,1.2,2.8,.440,.527,0.4,0.7,.667,0.6,2.2,2.8,1.0,0.4,0.6,1.0,1.7,6.9
247,2021,John Konchar,SG,24,MEM,5,0,19.6,2.0,4.6,.435,0.6,1.6,.375,1.4,3.0,.467,.500,1.2,1.2,1.000,1.0,3.6,4.6,2.8,1.4,0.4,0.2,1.2,5.8
248,2021,Furkan Korkmaz,SG,23,PHI,3,0,18.3,2.0,8.0,.250,1.3,5.3,.250,0.7,2.7,.250,.333,0.7,0.7,1.000,0.0,2.0,2.0,1.0,0.7,0.7,2.0,0.7,6.0
249,2021,Luke Kornet,PF,25,CHI,1,0,7.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,2.0,2.0,1.000,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
250,2021,Rodions Kurucs,PF,22,BRK,4,0,3.5,0.3,0.8,.333,0.3,0.5,.500,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.3,0.8
251,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,2021,Kyle Kuzma,SF,25,LAL,10,4,25.6,4.2,9.6,.438,1.8,4.7,.383,2.4,4.9,.490,.531,0.4,0.6,.667,1.0,3.0,4.0,1.2,0.2,0.8,1.5,2.2,10.6
